antigenicity_score,antigen_prediction
-0.4547,Probable Non-Antigen
-0.03,Probable Non-Antigen
-0.029,Probable Non-Antigen
-0.3649,Probable Non-Antigen
0.1577,Probable Non-Antigen
0.2801,Probable Non-Antigen
0.7146,Probable Antigen
0.0476,Probable Non-Antigen
0.5003,Probable Antigen
0.0481,Probable Non-Antigen
0.2424,Probable Non-Antigen
0.5986,Probable Antigen
0.5609,Probable Antigen
0.8064,Probable Antigen
0.7491,Probable Antigen
-0.3125,Probable Non-Antigen
0.2551,Probable Non-Antigen
0.2029,Probable Non-Antigen
0.457,Probable Non-Antigen
1.3904,Probable Antigen
0.8383,Probable Antigen
0.6809,Probable Antigen
0.5411,Probable Antigen
0.7729,Probable Antigen
-0.3819,Probable Non-Antigen
-0.3121,Probable Non-Antigen
0.869,Probable Antigen
0.0134,Probable Non-Antigen
0.1462,Probable Non-Antigen
0.5147,Probable Antigen
0.8878,Probable Antigen
0.123,Probable Non-Antigen
0.2999,Probable Non-Antigen
0.6293,Probable Antigen
-0.2029,Probable Non-Antigen
0.7022,Probable Antigen
0.3189,Probable Non-Antigen
0.9239,Probable Antigen
0.3305,Probable Non-Antigen
1.0813,Probable Antigen
0.7365,Probable Antigen
0.3804,Probable Non-Antigen
0.0068,Probable Non-Antigen
0.7674,Probable Antigen
1.2764,Probable Antigen
1.42,Probable Antigen
0.6394,Probable Antigen
1.4506,Probable Antigen
0.4736,Probable Non-Antigen
0.5211,Probable Antigen
0.1737,Probable Non-Antigen
0.9675,Probable Antigen
0.2132,Probable Non-Antigen
0.1454,Probable Non-Antigen
0.2467,Probable Non-Antigen
0.2473,Probable Non-Antigen
0.2348,Probable Non-Antigen
0.2271,Probable Non-Antigen
0.452,Probable Non-Antigen
0.116,Probable Non-Antigen
-1.0415,Probable Non-Antigen
-0.6459,Probable Non-Antigen
1.0499,Probable Antigen
1.0578,Probable Antigen
-1.0158,Probable Non-Antigen
0.4987,Probable Non-Antigen
0.4301,Probable Non-Antigen
0.2475,Probable Non-Antigen
0.3546,Probable Non-Antigen
0.4101,Probable Non-Antigen
0.4651,Probable Non-Antigen
0.5879,Probable Antigen
0.3202,Probable Non-Antigen
0.3018,Probable Non-Antigen
0.0937,Probable Non-Antigen
1.1357,Probable Antigen
0.534,Probable Antigen
0.6882,Probable Antigen
0.7082,Probable Antigen
0.4238,Probable Non-Antigen
-0.2205,Probable Non-Antigen
0.8911,Probable Antigen
0.1667,Probable Non-Antigen
0.4618,Probable Non-Antigen
1.1524,Probable Antigen
-0.8254,Probable Non-Antigen
-0.3147,Probable Non-Antigen
0.3761,Probable Non-Antigen
1.2669,Probable Antigen
